17.07.2023 12:50:55: Voltage:0,88;MaxVoltage:9,92;MinVoltage:0,07;Ampere:1,83;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:50:57: Voltage:0,38;MaxVoltage:9,92;MinVoltage:0,07;Ampere:0,71;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:50:59: Voltage:0,15;MaxVoltage:9,92;MinVoltage:0,07;Ampere:0,41;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:51:01: Voltage:0,28;MaxVoltage:9,92;MinVoltage:0,07;Ampere:0,98;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:51:03: Voltage:0,72;MaxVoltage:9,92;MinVoltage:0,07;Ampere:2,66;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:51:05: Voltage:1,44;MaxVoltage:9,92;MinVoltage:0,07;Ampere:4,76;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:51:07: Voltage:2,49;MaxVoltage:9,92;MinVoltage:0,07;Ampere:7,79;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:51:09: Voltage:3,79;MaxVoltage:9,92;MinVoltage:0,07;Ampere:10,82;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:51:11: Voltage:5,05;MaxVoltage:9,92;MinVoltage:0,07;Ampere:14,48;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:51:13: Voltage:6,33;MaxVoltage:9,92;MinVoltage:0,07;Ampere:17,7;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:51:15: Voltage:7,46;MaxVoltage:9,92;MinVoltage:0,07;Ampere:20,78;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:51:17: Voltage:8,58;MaxVoltage:9,92;MinVoltage:0,07;Ampere:23,4;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:51:19: Voltage:9,29;MaxVoltage:9,92;MinVoltage:0,07;Ampere:25,02;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:51:21: Voltage:9,74;MaxVoltage:9,92;MinVoltage:0,07;Ampere:25,81;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:51:23: Voltage:9,78;MaxVoltage:9,92;MinVoltage:0,07;Ampere:25,87;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:51:25: Voltage:9,59;MaxVoltage:9,92;MinVoltage:0,07;Ampere:24,74;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:51:27: Voltage:8,95;MaxVoltage:9,92;MinVoltage:0,07;Ampere:23,05;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:51:29: Voltage:8,14;MaxVoltage:9,92;MinVoltage:0,07;Ampere:20,52;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:51:31: Voltage:6,97;MaxVoltage:9,92;MinVoltage:0,07;Ampere:17,34;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:51:33: Voltage:5,86;MaxVoltage:9,92;MinVoltage:0,07;Ampere:14,21;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:51:35: Voltage:4,43;MaxVoltage:9,92;MinVoltage:0,07;Ampere:10,69;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:51:37: Voltage:3,29;MaxVoltage:9,92;MinVoltage:0,07;Ampere:7,64;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:51:39: Voltage:2,11;MaxVoltage:9,92;MinVoltage:0,07;Ampere:4,55;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:51:41: Voltage:1,07;MaxVoltage:9,92;MinVoltage:0,07;Ampere:2,44;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:51:43: Voltage:0,49;MaxVoltage:9,92;MinVoltage:0,07;Ampere:0,86;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:51:45: Voltage:0,13;MaxVoltage:9,92;MinVoltage:0,07;Ampere:0,19;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:51:47: Voltage:0,26;MaxVoltage:9,92;MinVoltage:0,07;Ampere:0,68;MaxAmpere:26,18;MinAmpere:0,19
