18.07.2023 07:41:47: Voltage:0;MaxVoltage:0,02;MinVoltage:0;Ampere:0,01;MaxAmpere:0,05;MinAmpere:0
18.07.2023 07:41:49: Voltage:0;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0,05;MinAmpere:0
18.07.2023 07:41:51: Voltage:0;MaxVoltage:0,02;MinVoltage:0;Ampere:0,01;MaxAmpere:0,05;MinAmpere:0
18.07.2023 07:41:53: Voltage:0;MaxVoltage:0,02;MinVoltage:0;Ampere:0,03;MaxAmpere:0,05;MinAmpere:0
18.07.2023 07:41:55: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0,01;MaxAmpere:0,05;MinAmpere:0
18.07.2023 07:41:57: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0,04;MaxAmpere:0,05;MinAmpere:0
18.07.2023 07:41:59: Voltage:0;MaxVoltage:0,02;MinVoltage:0;Ampere:0,03;MaxAmpere:0,05;MinAmpere:0
18.07.2023 07:42:01: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0,05;MinAmpere:0
18.07.2023 07:42:03: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0,05;MinAmpere:0
18.07.2023 07:42:05: Voltage:0;MaxVoltage:0,02;MinVoltage:0;Ampere:0,03;MaxAmpere:0,05;MinAmpere:0
18.07.2023 07:42:07: Voltage:0;MaxVoltage:0,02;MinVoltage:0;Ampere:0,03;MaxAmpere:0,05;MinAmpere:0
18.07.2023 07:42:09: Voltage:0;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0,05;MinAmpere:0
18.07.2023 07:42:11: Voltage:0,02;MaxVoltage:0,02;MinVoltage:0;Ampere:0,01;MaxAmpere:0,05;MinAmpere:0
18.07.2023 07:42:13: Voltage:0;MaxVoltage:0,02;MinVoltage:0;Ampere:0,01;MaxAmpere:0,05;MinAmpere:0
18.07.2023 07:42:15: Voltage:0;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0,05;MinAmpere:0
18.07.2023 07:42:17: Voltage:0;MaxVoltage:0,02;MinVoltage:0;Ampere:0,03;MaxAmpere:0,05;MinAmpere:0
18.07.2023 07:42:19: Voltage:0;MaxVoltage:0,02;MinVoltage:0;Ampere:0,03;MaxAmpere:0,05;MinAmpere:0
18.07.2023 07:42:21: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0,01;MaxAmpere:0,05;MinAmpere:0
18.07.2023 07:42:23: Voltage:0;MaxVoltage:0,02;MinVoltage:0;Ampere:0,03;MaxAmpere:0,05;MinAmpere:0
18.07.2023 07:42:25: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0,05;MinAmpere:0
18.07.2023 07:42:27: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0,05;MinAmpere:0
18.07.2023 07:42:29: Voltage:0;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0,05;MinAmpere:0
18.07.2023 07:42:31: Voltage:0;MaxVoltage:0,02;MinVoltage:0;Ampere:0,03;MaxAmpere:0,05;MinAmpere:0
18.07.2023 07:42:33: Voltage:0;MaxVoltage:0,02;MinVoltage:0;Ampere:0,01;MaxAmpere:0,05;MinAmpere:0
18.07.2023 07:42:35: Voltage:0;MaxVoltage:0,02;MinVoltage:0;Ampere:0,01;MaxAmpere:0,05;MinAmpere:0
18.07.2023 07:42:37: Voltage:0;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0,05;MinAmpere:0
18.07.2023 07:42:39: Voltage:0;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0,05;MinAmpere:0
18.07.2023 07:42:41: Voltage:0;MaxVoltage:0,02;MinVoltage:0;Ampere:0,03;MaxAmpere:0,05;MinAmpere:0
18.07.2023 07:42:43: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0,05;MinAmpere:0
18.07.2023 07:42:45: Voltage:0;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0,05;MinAmpere:0
18.07.2023 07:42:47: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0,03;MaxAmpere:0,05;MinAmpere:0
18.07.2023 07:42:49: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0,01;MaxAmpere:0,05;MinAmpere:0
18.07.2023 07:42:51: Voltage:0;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0,05;MinAmpere:0
18.07.2023 07:42:53: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0,03;MaxAmpere:0,05;MinAmpere:0
18.07.2023 07:42:56: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0,03;MaxAmpere:0,05;MinAmpere:0
18.07.2023 07:42:58: Voltage:0;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0,05;MinAmpere:0
18.07.2023 07:43:00: Voltage:0;MaxVoltage:0,02;MinVoltage:0;Ampere:0,03;MaxAmpere:0,05;MinAmpere:0
